0,1,2
900 Hopper St Petaluma,California 94952,
1207 Cleveland Avenue Santa Rosa,California 95404,
101 6th St Santa Rosa,California 95401,
600 Morgan St Santa Rosa,California 95401,
 465 A Street Santa Rosa,California 95401,
634 Pressley St.  Santa Rosa,California 95404,
3440 Airway Dr Suite E Santa Rosa,California 95403,
PO Box 3113 Santa Rosa,California 95402,
not disclosed. Santa Rosa,California 95404,
101 6th St Santa Rosa,California 95403,
2455 Bennett Valley Road Santa Rosa,California 95404,
545 Encinas Avenue Calexico,California 92231,
1006 East Fifth St Calexico,California 92231 ,
2025 Sweeney Rd Lompoc,California 93436,
150 N. Hayes Ave Oxnard,California 93030,
234 E. 6th Street Oxnard,California 7117,
536 E. Thompson Boulevard Ventura,California 93001,
155 S. Oak Street Ventura,California 93001,
43 E. Vince St. Ventura,California 93001,
4700 North River Road Oceanside,California 92057,
1919 Apple Street Ste I Oceanside,California 92054 ,
2476 Impala Dr Carlsbad,California 90101,
859 East Vista Way  Vista ,California 92084,
910 Monterey St Hollister,California 95023,
1161 San Felipe Rd Hollister,California 95023,
816 Cacique St Santa Barbara,California 93103,
816 Cacique Street Santa Barbara,California 93103,
535 E. Yanonali Street Santa Barbara,California 93103,
425 E Cota St Santa Barbara,California 93101,
423 Chapala Street Santa Barbara,California 93101,
P.O. Box 1536 Santa Barbara,California 93102,
73-550 Alessandro Dr. Suite 103 Palm Desert,California 92260,
PO Box 1816 Palm Desert,California 92260,
83791 Date Ave Indio,California 92201,
47470 Van Buren St Indio,California 92201,
126 North Main Street Cloverdale,California 95425,
1400 Yosmite Blvd. Modesto,California 95353,
320 Ninth Street Modesto,California 95351,
201 Jennie Street  Modesto,California 95354,
618 13th St Modesto,California 95354,
708 H Street Suite B Modesto,California 95354,
2301 Woodland Ave Ste 7 Modesto,California 95358,
not provided Turlock,California 95353,
1030 East Avenue Turlock,California 95380,
405 S. 4th St. Patterson,California 95363,
411 S. Harrison  Stockton,California 95203,
1297 Park Ave Chico,California 95928,
101 Silver Dollar Way Chico,California 95928,
101 Skyway Ave Paradise,California 95969,
4250 Lincoln Blvd. Oroville,California 95966,
4250 Lincoln Blvd Oroville,California 95966,
805 N. Echo Ave Fresno,California 93728,
137 N. Yosemite Fresno,California 93701,
310 G Street Fresno,California 93706,
412 F Street Fresno,California 93706,
445 F St #3410 Fresno,California 93777,
511 North K Street Dinuba,California 93618 ,
400 Bannon St Sacramento,California 95814,
undisclosed location Sacramento,California ,
1200 N B St Sacramento,California 95811,
1422 C Street Sacramento,California ,
1351 North C Street Sacramento,California 95811,
770 North Main Street Porterville,California 93277,
500 E Race Ave Visalia,California 93292,
805A W. 7th Street Hanford,California 93230,
807 West 7th Street Hanford,California 93230,
111 West Kern Street Tulare,California 93274 ,
909 Spiva Ave Yuba City,California 95991,
P.O. Box 2168 Fort Bragg,California 95437,
44933 N. Fern Ave.  Lancaster,California 93534,
1321 w Ivesbrook st Lancaster,California 93534,
45134 N. Sierra Hwy.  Lancaster,California 93534,
43434 E. Sahuayo St. Lancaster,California 93535,
134 South China Lake Boulevard Ridgecrest,California 93555,
138 East Long Street Carson City,Nevada 89706,
7400 South Virginia Street Reno,Nevada 89511,
355 Record Street Reno,Nevada 89512,
275 East Fourth Street Reno,Nevada ,
500 East Fourth Street Reno,Nevada 89512,
1290 MIll St Reno,Nevada 89502,
1931 Sutro Reno,Nevada 89512,
1525 East 9th Street Reno,Nevada 89512,
PO Box 51316 Sparks,Nevada 89435,
417 Lane St Yreka,California 96097,
619 Ninth Avenue Albany,Oregon 97322,
145 West Ash St Lebanon,Oregon 97355,
1055 Edgewater St NW Salem,Oregon 97304,
345 Commercial Street NE  Salem,Oregon 97301,
1901 Front Street NE  Salem,Oregon  9730,
4955 Oak Park Dr  NE  Salem,Oregon 97305,
125 West Jackson St Medford,Oregon 97501,
521 Edwards St Medford,Oregon 97501,
304 Beatty St Medford,Oregon 97501,
2424 N. Pacific Hwy. Medford,Oregon 97501,
745 Koos Bay Blvd Coos Bay,Oregon 97420,
1999 N 7th St Coos Bay,Oregon 97420,
1999 N. 7th St Coos Bay,Oregon 97420,
PO Box 6372 Bend,Oregon 97708,
3705 N Hwy 97 Bend,Oregon 97701,
925 S. Main St. Mt. Angel,Oregon 97362,
1242 N E Spruce Ave Myrtle Creek,Oregon 97457,
433 SE Main St Roseburg,Oregon 97470,
1995 Amazon Parkway Eugene,Oregon ,
499 W. 4th Ave. Eugene,Oregon 97401,
1542 West 1st Avenue Eugene,Oregon 97402,
2485 Roosevelt Blvd Eugene,Oregon ,
450 Highway 99 North Eugene,Oregon 97402,
456 Hwy 99N Eugene,Oregon 97402,
4488 Knoop ave. Eugene,Oregon 97402,
540 SW Foundry Grants Pass,Oregon 97526,
823 Walnut Ave Klamath Falls,Oregon 97601,
5030 SE Hwy 101 Lincoln City,Oregon 97367,
715 Sw Bay St  Newport,Oregon 97365-5161 ,
780 E 1st street Prineville,Oregon 97754,
715 SE Court Ave Pendleton,Oregon 97801,
830 East Lake Mead Pkwy Henderson,Nevada 89015,
4981 Shirley St Las Vegas,Nevada 89119,
1601 Sandhill Road  Las Vegas,Nevada 89104,
953 E. Sahara Suite 201 Las Vegas,Nevada ,
1410 Maryland Parkway Las Vegas,Nevada 89104,
1401 Las Vegas Blvd N Las Vegas,Nevada 89101,
1502 Las Vegas Blvd North Las Vegas,Nevada 89101,
480 W Bonanza Rd Las Vegas,Nevada 89106,
1 West Owens North Las Vegas,Nevada 89030,
35 W. Owens Avenue North Las Vegas,Nevada 89030,
35 W. Owens Las Vegas,Nevada 89030,
2915 W. Charleston Avenue Las Vegas,Nevada 89102,
1824 Leonard Lane Las Vegas ,Nevada 89108,
600 Palmhurst Dr. Las Vegas, 89145,
338 N. Morley Ave.  Nogales,Arizona 85621,
5946 E University Dr Mesa,Arizona 85205,
6935 East Williams Field Rd Mesa,Arizona 85212,
125 E. University Dr. Mesa,Arizona 85201,
confidential not provided Mesa,Arizona 85201,
2345 N. Country Club Drive Mesa,Arizona 85201,
2254 W Main St Chandler,Arizona 85201,
2245 W Ella St Mesa,Arizona 85201,
2254 W Main St Mesa,Arizona 85201,
 7447 E. Earll Dr. Scottsdal,Arizona 85257,
721 Gonzales Blvd Huachuca City,Arizona 85616,
509 Romero St. Bisbee,Arizona 85603,
240 Ohara St Bisbee,Arizona 85603,
2105 N Washington Ave Douglas,Arizona 85603,
not disclosed Sierra Vista,Arizona 85636,
420 N 7th St Sierra Vista, 85635,
P. O. Box 4484 Cottonwood,Arizona 86326,
736 N Main St Cottonwood,Arizona 96326,
9844 N 7th St Phoenix,Arizona 85020,
1050 W Mountain View Rd Phoenix,Arizona 85021,
1050 W Mountain View Rd Phoenix,Arizona 85021,
7000 N Central Avenue Phoenix,Arizona 85020,
931 East Devonshire Avenue Phoenix,Arizona 85014,
2302 W. Colter Phoenix,Arizona 85015,
3210 NW Grand Avenue Phoenix,Arizona 85017,
3333 East Van Buren Street Phoenix, 85008,
2707 E Van Buren St Phoenix,Arizona  8500,
2707 E. Van Buren St. Phoenix,Arizona 85008,
141 E Palm Ln Ste 105 Phoenix,Arizona 85004,
1001 West Jefferson Phoenix,Arizona 2913,
213 S 11th Ave Phoenix,Arizona 85007,
206 S 12th Ave Phoenix,Arizona 85007,
206 S. 12th Avenue Phoenix, 85007,
230 S 12th Ave Phoenix,Arizona 85007,
206 S 12th Ave Phoenix,Arizona 85007,
1125 W Jackson Phoenix,Arizona 85007,
210 S.12th Ave Phoenix,Arizona 85007,
1406 S 17th Ave Phoenix,Arizona 85007,
601 E. Fort Lowell Rd. Tucson,Arizona 85705,
3028 North Geronimo Avenue Tucson,Arizona 85705,
2590 N Alvernon Way Tucson,Arizona 85712,
707 W. Miracle Mile Tucson,Arizona 85705,
2545 E. Adams Street Tucson,Arizona 85716,
3830 E. Bellevue Street Tucson,Arizona 85716,
1002 N. Main Avenue Tucson,Arizona 85705,
702 South 6th Avenue Tucson,Arizona 85701,
702 S. 6th Ave. Tucson,Arizona 85701,
4550 S Palo Verde Road Tucson,Arizona 85714,
200 E. Benson Highway Tucson,Arizona 85713,
2211 E Johnson Ave Flagstaff, 86004,
124 S. San Francisco Flagstaff, 86001,
2532 N 4th St #506 Flagstaff,Arizona 86004,
4185 E. Huntington Drive Flagstaff,Arizona 86004,
885 Hermosa Drive Holbrook,Arizona 86025,
1770 Airway Ave. Kingman,Arizona 86401,
3049 Sycamore Ave Kingman,Arizona 86409,
P.O. Box 20205 Bullhead City,Arizona 86439,
602 Lincoln Avenue Prescott,Arizona 86301,
336 N. Rush Street Prescott,Arizona 86301,
215 1/2 W. Leroux Prescott,Arizona 86301,
P.O. Box 1202 Safford,Arizona 85548,
P.O. Box 1589 St Johns,Arizona 85924,
944 S. Arizona Avenue Yuma,Arizona 85364,
690 E. 32nd Street Yuma,Arizona 85364,
944 S. AZ Avenue Yuma,Arizona 85364,
3380 S 1000 W South Salt Lake,Utah 84101,
1165 South State Street Salt Lake City,Utah 84111,
529 W 7300 S Midvale,Utah 84047,
999 S. Main Street Salt Lake City,Utah 84111,
4th Street Clinic Salt Lake City,Utah 84101,
463 South 400 W Salt Lake City,Utah 84101,
4th Street Clinic Salt Lake City,Utah 84101,
814 West 800 South Salt Lake City,Utah 84165,
299 E 900 S Provo,Utah 84062,
77 N Main St Cedar City,Utah 84720,
222 West 900 North Cedar City,Utah 84720,
2781 Wall Avenue Ogden,Utah 84401,
2760 Adams Ave Ogden,Utah 84403,
269 W. 33rd Street Ogden,Utah 84401,
340 E Tabernacle Street St George, 84770,
948 N 1300 West Saint George,Utah 84770,
145 W Main Street Vernal,Utah 84078,
381 North Main Street Buffalo,Wyoming 82834,
1514 E. 12th Street Suite 200 Casper,Wyoming 82601,
230 North Park Casper,Wyoming 82602,
604 E. 25th St Cheyenne,Wyoming 82003,
2326 E. Pershing Blvd Cheyenne,Wyoming 82001,
601 East 20th St Cheyenne,Wyoming 82001,
2360 E. Pershing Blvd Cheyenne,Wyoming 82001,
907 Logan Avenue Cheyenne,Wyoming 82001,
1504 Stinson Cheyenne,Wyoming 82001,
1504 Stinson Cheyenne,Wyoming 82003,
3304 Sheridan Ave Cheyenne,Wyoming 82009,
4700 Ocean Loop Cheyenne,Wyoming 82009,
103 South 8th Street Douglas,Wyoming 82633,
115 Rohan Avenue Gillette,Wyoming 82716,
 Pine Bluffs,Wyoming 82082,
1309 Coffeen Ave Suite A Sheridan,Wyoming 82801,
1898 Fort Road Building 24 Sheridan,Wyoming 82801,
913 State Ave Alamosa,Colorado 81101,
P.O. Box 2050 Aspen ,Colorado 81612,
2178 Victor Street Aurora,Colorado 80045,
1555 Race St Denver,Colorado 80206,
1535 High Street Denver,Colorado 80218,
1323 Gilpin St Denver,Colorado 80218,
3501 E. 46th Avenue Denver, 80216,
PO Box 9884 Denver,Colorado 80218,
850 Lincoln St Denver,Colorado 80235,
3301 S Grant St Englewood,Colorado 80113,
1680 Sherman St. Denver,Colorado 80203,
1680 Sherman St Denver,Colorado 80203,
2844 Lawrence St Denver,Colorado 80205,
730 21st Street Denver,Colorado 80205,
2323 Curtis St Denver,Colorado 80205,
2130 Stout St Denver,Colorado 80205,
P.O. Box 1406 Denver,Colorado 80201,
2301 Lawrence St Denver,Colorado 80205,
6621 E. 72nd Ave Commerce City,Colorado 80022,
1901 29th St Denver,Colorado 80216,
6978 Colorado Boulevard Commerce City,Colorado 80022,
2741 North Federal Denver,Colorado 80211,
3805 Marshall St Wheat Ridge,Colorado 80033,
3489 W 72nd Ave #110 Westminster,Colorado 80030,
PO BOX 1477 Wheat Ridge,Colorado 80304,
PO BOX 351594 Westminster,Colorado 80035,
231 North Main Street Brighton,Colorado 80601,
400 E Simpson St # 201 Lafayette,Colorado 80026,
PO Box 270181 Louisville,Colorado 80027,
1004 Grand Ave Glenwood Springs ,Colorado 81601,
P.O.Box 1393 Boulder,Colorado 80306,
1120 1/2 Pine St Boulder,Colorado 80302,
3080 Broadway Boulder,Colorado 80304,
835 North St Boulder,Colorado 80304,
1020 Upham St. Lakewood, 80302,
1575 Yarmouth Ave. Boulder,Colorado 80304,
4869 N. Broadway Boulder,Colorado 80304,
250 Kimbark St Longmont,Colorado 80501,
804 S. Lincoln St Longmont,Colorado 80501,
82 21st Avenue Longmont,Colorado 80502,
137 South Lincoln Ave Loveland,Colorado 80537,
1511 E 11th Street Loveland, 80537,
1511 E. 11th St Suite 200 Loveland,Colorado 80537,
Fort Lupton CO Fort Lupton,Colorado 80621,
709N S. Sierra Madre Colorado Springs,Colorado 80907,
1015 E Pikes Peak Ave Colorado Springs, 80903,
P.O. Box 2837 Grand Junction,Colorado 81501,
550 South Ave Grand Junction,Colorado 81501,
1235 North 4th Street Grand Junction,Colorado 81501,
302 Pitkin Ave Grand Junction,Colorado 81501,
2853 North Ave Grand Junction,Colorado 81501,
908 Yuma St Colorado Springs,Colorado 80909,
610 S. Tejon St Colorado Springs,Colorado 80903,
519 North Tejon Street Colorado Springs, 80903,
201 North Weber Street Colorado Springs, 80903,
14 W Bijou St Colorado Springs, 80903,
423 E Cucharras St Colorado Springs,Colorado 3609,
5 W. Las Vegas Colorado Springs,Colorado 80903,
455 Gold Pass Heights Colorado Springs,Colorado 80906,
601 N. Mildred Cortez,Colorado 81321,
1055 Avenida Del Sol Durango,Colorado 81301,
1206 10th St Greeley,Colorado 80631,
1110 M Street Greeley,Colorado 80631,
1442 North 11th Avenue Greeley,Colorado 80631,
316 Jefferson St Fort Collins,Colorado 80524,
460 Linden Center Dr Fort Collins,Colorado 80524,
242 Conifer Street Fort Collins,Colorado 80524,
3851 S. Taft Hill Rd. Fort Collins,Colorado 80526,
728 W 4th St Pueblo,Colorado 81003,
2820 Ridgecrest SE Albuquerque,New Mexico 87108,
715 Candelaria NE Albuquerque,New Mexico 87107,
2400 Second Street NW Albuquerque,New Mexico 87105,
808 Edith Blvd. NE Albuquerque,New Mexico 87102,
1201 3rd St NW Albuquerque,New Mexico 87102,
400 John NE Albuquerque,New Mexico 87102,
PO Box 25363 Albuquerque,New Mexico 87125,
708 Tijeras Ave NW Albuquerque,New Mexico 87102,
525 2nd St SW Albuquerque,New Mexico 87102,
218 Iron St. SW Albuquerque,New Mexico 87102,
4605 Gibson SE Albuquerque,New Mexico 87108,
123 Rhode Island SE Albuquerque,New Mexico 87108,
10300 Constitution Ave NE Albuquerque,New Mexico 87112,
2010 Bridge Blvd SW Albuquerque,New Mexico 87105,
4500 2nd Street SW Albuquerque,New Mexico 87125,
4025 Isleta Blvd. SW Albuquerque,New Mexico 87105,
1201 Third NW Albuquerque,New Mexico 87125,
220 Albright Street Taos,New Mexico 87571,
128 La Posta Rd Taos,New Mexico 87571,
1314 S Canal St Carlsbad,New Mexico 88220,
407 L Casillas Blvd Clovis,New Mexico 88101,
400 S. 12th St. Deming,New Mexico 88030,
804 Alarid St Santa Fe,New Mexico 87505,
1604 Berry Ave Santa Fe,New Mexico 87505,
2801 Cerrillos Rd Santa Fe,New Mexico 87505,
6321 Jaguar Dr Santa Fe,New Mexico 87507,
310 W. Animas Farmington,New Mexico 87401,
309 W Pinon St Farmington,New Mexico 87401,
1050 W. Amador Las Cruces,New Mexico 88004,
1000 Mills Avenue Las Vegas,New Mexico 87701,
111 S Texas St. Silver City,New Mexico 88061,
519 North California Street Socorro,New Mexico 87801,
305 Grape St Abilene,Texas 79601,
233 Fannin St Abilene,Texas 79603,
801 S. Treadaway Blvd. Abilene,Texas 79602,
1726 Butternut St Abilene,Texas 79602,
P. O. Box 260671 Plano,Texas 75026,
207 N St Johns Dr Richardson,Texas 75081,
860 F Ave. Ste. 100 Plano,Texas 75074,
902 E. 16th Street Plano,Texas 75074,
not disclosed Dallas,Texas 75238,
4411 Lemmon Ave Ste 201 Dallas,Texas 75219,
4815 Cass Street Dallas,Texas 75235,
5302 Harry Hines Dallas,Texas 75247,
3211 Irving Blvd Dallas,Texas 75247,
2707 Routh Street Dallas,Texas 75201,
218 N 10th St. Garland,Texas 75040,
928 Bluebird Dr Irving,Texas 75061,
828 E 4th St Irving,Texas 75060,
451 West Avenue D Garland,Texas 75046,
402 N. Good Latimer Expy. Dallas,Texas 75204,
1822 Young Street Dallas,Texas 75201,
711 South St. Paul Street Dallas,Texas 75201,
1818 Corsicana Street Dallas,Texas 75201,
1818 Corsicana Street Dallas,Texas 75201,
2929 Hickory Street Dallas,Texas 75226,
1100 Cadiz Dallas,Texas 75215,
3110 Metropolitan Ave Dallas,Texas 75215,
2706 S 2nd AVE  Dallas,Texas 75210,
1128 reverend CBT Smith Dallas,Texas 75203,
PO Box 1601 Allen,Texas 75002,
233 W. 10th Street Dallas,Texas 75208,
224 W Page Ave. Dallas,Texas 75208,
341 W. Woodin Blvd Dallas,Texas 75224,
202 College Street Suite 101 Grand Prairie,Texas 75050,
522 Shadyway Dr. Dallas,Texas 75232,
401 W Sanford St #1400 Arlington,Texas 76004,
325 W. Division Street Arlington,Texas 76011,
210 W. South St. Arlington,Texas 76010,
1710 N McDonald St McKinney,Texas 75071,
712 West Abram Arlington,Texas  76004,
13134 Nile Drive Dallas,Texas 75253,
1508 E. McKinney Denton,Texas 76202,
1014 West University Drive Denton,Texas 76201,
P.O. Box 1161 Cedar Hill,Texas 75106,
111 S. 15th St. McAllen,Texas 78501,
1901 Cedar McAllen,Texas 78501,
420 North 21st St. McAllen,Texas 78501,
1149 Fort Worth Hwy Weatherford,Texas 76087,
1100 Hemphill St #303 Fort Worth,Texas 76102,
1100 Hemphill Street Suite 303 Fort Worth,Texas 76104,
929 Hemphill St. Fort Worth,Texas 76104,
512 W. 4th St. Fort Worth,Texas 76102,
1100 E. Lancaster Fort Worth,Texas ,
1321 East Lancaster Avenue Fort Worth,Texas 76102,
2400 Cypress St Fort Worth,Texas 76102,
2400 Cypress Street Fort Worth,Texas 76102,
1855 E. Lancaster Fort Worth,Texas 76103,
2701 Birchill Road North Fort Worth,Texas 76105,
3500 Noble Avenue Fort Worth,Texas 76111,
3712 Wichita St Fort Worth,Texas 76119,
P. O. Box 1923 Springtown,Texas 76082,
14435 FM 730 No. Azle,Texas 76020,
5601 Bridge Street Fort Worth,Texas 76101,
660 County Rd 903 Cleburne,Texas 76033,
2220 cr 144  Alvin,Texas 77511,
210 S. Walnut Webster,Texas 77598,
5105 Timothy Street Texas City ,Texas 77591,
3811 Allen-Genoa Rd Pasadena,Texas 77504,
421 Oak La Marque,Texas 77568,
711 Perla Rd Pasadena,Texas 77502,
3827 Broadway Houston,Texas 77017,
6342 Ludington Dr Houston, 77035,
2505 Southmore Houston,Texas 77004,
3410 Drew Street Houston,Texas 77004,
5803 Harrisburg Blvd. Houston,Texas 77011,
4640 Main St. #213 Houston,Texas 77002,
3209 Austin St. Houston,Texas 77004,
1603 McGowen Houston,Texas 77004,
1111 Lovett Blvd Houston,Texas 77006,
6300 Chimney Rock Houston,Texas 77081,
419 Dowling Houston,Texas 77003,
2009 Congress Street Houston, 77002,
320 Hamilton St. Houston,Texas 77002,
1717 Congress Houston,Texas 77002,
1811 Ruiz Houston,Texas 07705,
1811 Ruiz St Houston,Texas 77081,
1212 Prairie Street Houston,Texas 77002,
1010 Waugh Houston,Texas 77019,
3406 Wisconsin Street Baytown,Texas 77520,
1204 W. 18th Ave. Amarillo,Texas 79102,
613 S. Adams Amarillo,Texas 79101,
409 S. Monroe St. Amarillo,Texas 79101,
400 S. Harrison St. Amarillo,Texas 79101,
209 S. Jackson Amarillo,Texas 79101,
200 South Tyler St. Amarillo,Texas 79101,
600 N Tyler St Amarillo,Texas 79107,
7136 West Interstate 40 Suite B Amarillo,Texas 79101,
PO Box 7160 Amarillo,Texas 79114,
1618 N. Ave J Freeport ,Texas 77541,
1618 North Avenue J Freeport,Texas 77541,
11614 FM 361 Richmond,Texas 77469,
10501 S.P.I.D. Corpus Christi,Texas 78480,
919 Leopard St Corpus Christi, 78408,
709 Waco Street Corpus Christi,Texas 78401,
513 Sam Rankin St Corpus Christi,Texas 78401,
513 Sam Rankin Avenue Corpus Christi,Texas 78401,
513 Sam Rankin Ave. Corpus Christi,Texas 78401,
210 S. Alameda St. Corpus Christi,Texas 78401,
513 Josephine Street Corpus Christi,Texas 78401,
501 Josephine Corpus Christi,Texas 78401,
813 Buford St Corpus Christi,Texas 78404,
1919 Leopard Street Corpus Christi,Texas 78408,
658 Robinson Corpus Christi,Texas 78404,
507 W. Jefferson Waxahachie,Texas 75165,
500 E. 7th Austin,Texas 78701,
821 Gunter Austin,Texas 78702,
4613 Tannehill Ln bldg 3 Austin,Texas 78721,
8505 Cross Park Dr. Suite 120 Austin,Texas 78755,
1011 Gattis School Rd #110 Round Rock,Texas 78664,
2610 Elysian Fields Ave. Marshall,Texas 75672,
3011 West Marshall Longview,Texas 75604,
3117 W. Marshall Ave Longview,Texas 75606,
3117 W. Marshall Longview,Texas 75604,
2675 North State Highway 34 Kaufman,Texas 75142,
2805 4th St Bay City,Texas 77404,
5609 E Mt Houston Rd Houston,Texas 77093,
2605 Parker Road Houston,Texas 77093,
1203 S Houston Ave Humble,Texas 77347,
111 South Avenue G Humble,Texas 77338,
2350 Interstate 10 E Beaumont,Texas 77703,
2509 Cable Ave. Beaumont,Texas 77703,
5670 Concord Rd. Beaumont,Texas 77708,
900 6th St Port Arthur,Texas 77640,
531 Atlanta Port Arthur,Texas 77640,
3964 FM 1131 RD Buna,Texas 77612,
3454 US-281 George West,Texas 78022,
1217 Mary Street Waco,Texas 76701,
1421 Austin Ave. Waco,Texas 76701,
4721 W Waco Dr Waco,Texas 76710,
4721 W Waco Dr Waco,Texas 76710,
204 N East St Belton,Texas 76513,
707 South 11th Temple,Texas 76504,
1018 East Ave A Temple ,Texas 76501,
412 E Sprott St Killeen,Texas 76541,
818 North Fourth Street Killeen,Texas 76541,
105 BCR 212 Florence,Texas 76527,
6363 De Zavala Road San Antonio,Texas 78228,
3103 West Avenue San Antonio,Texas 78213,
5254 Blanco Road San Antonio,Texas 78216,
7911 Broadway San Antonio,Texas 78209,
2939 W. Woodlawn Av. San Antonio,Texas 78228,
945 W. Huisache San Antonio,Texas 78201,
2102 Buena Vista Street San Antonio,Texas 78207,
1 Haven for Hope Way San Antonio,Texas 78207,
519 W Elmira St San Antonio,Texas 78212,
907 E. Quincy San Antonio,Texas 78215,
226 Nolan Street San Antonio,Texas 78202,
626 Nolan St San Antonio,Texas 78202,
414 N. Hackberry San Antonio,Texas 78202,
500 E. Academy Brenham,Texas 77833,
5899 Highway 3112 Vinton,Louisiana 6233,
95 E Price Rd Brownsville,Texas 78521,
1254 E Tyler St Brownsville,Texas 78520,
656 N Minnesota Ave Brownsville,Texas 78521,
30094 Marydale Rd San Benito,Texas 78586,
514 S. E Street Harlingen,Texas 78550,
616 W. Taylor Harlingen,Texas 78550,
1001 Belle Plain St.  Brownwood,Texas 76801,
403 Lakeway Dr Brownwood,Texas 76801,
408 East 24th Street Bryan,Texas 77803,
408 E. 24th Street College Station,Texas 77803,
410 South Randolph Avenue Bryan,Texas 77803,
1700 Groesbeck Bryan,Texas 77803,
2505 S. College  Bryan,Texas 77801,
1806 Wilde Oak Circle Bryan,Texas 77802,
518 S. Guadalupe St San Marcos,Texas 78666,
108 E Halstead Avenue Copperas Cove,Texas 76522,
519 East Cotton Street Longview,Texas 75602,
4516 Old Yale St. Houston,Texas 77018,
4516 Old Yale St. Houston,Texas 77018,
1701 Jacquelyn Drive Houston,Texas 77055,
2005 Jacquelyn Houston,Texas 77055,
13617 Kaltenbrun Road Houston,Texas 77086,
15555 Kuykendahl Rd. Houston,Texas 77090,
1600 Lake Front Circle Suite 100 The Woodlands,Texas 77387,
P.O. Box 349 Greenville,Texas 75403,
1401 Airport Rd Conroe,Texas 77301,
603 South 6th Street Conroe,Texas 77301,
301 Avenue E Conroe,Texas 77301,
1207 Thompson Ave Conroe,Texas 77301,
1022 Mccall Ave Conroe,Texas 77301,
4495 N. Frazier Conroe,Texas 77303,
4501 N. Frazier Conroe,Texas 77303,
1607 South Washington Avenue Livingston,Texas 77351,
301 E 3rd St Colorado City,Texas 79512,
8555 E. Loop 1604 North Converse Texas 78109 Converse,Texas 78109,
1115 Mission Rd. San Antonio,Texas 78210,
811-A Martin Luther King Jr. Copperas Cove,Texas 76522,
601 51st St Galveston,Texas 77550,
2420 Winnie Galveston,Texas 77550,
201 S. First Street Galveston,Texas 77550,
2127 Avenue M Galveston,Texas 77550,
331 W. Morton Denison,Texas 75020,
5700 Texoma Pkwy Sherman,Texas 75090,
1602 E Lamar St Sherman,Texas 75091,
323 Moody Street Lufkin,Texas 75901,
306 W 7th St Dumas,Texas 79029,
3700 Altura Ave El Paso,Texas 79930,
5300 Paisano El Paso,Texas 79905,
4300 E. Paisano Dr El Paso,Texas 79905,
221 N. Lee Street El Paso,Texas 79901,
1220 Myrtle Avenue El Paso,Texas 79901,
1208 Myrtle Avenue El Paso,Texas 79901,
1003 E. San Antonio El Paso,Texas 79901,
1014 S Virginia St El Paso,Texas 79901,
1020 N. Campbell Street El Paso,Texas 79902,
920 S. Oregon St. El Paso,Texas 79901,
920 S Oregon St El Paso,Texas 79901,
8023 San Jose Road El Paso,Texas 79915,
429 Washington Kerrville,Texas 78028,
633 North Broadway Avenue Tyler,Texas 75702,
503 Second Street Graham,Texas 76450,
580 West Main MANY,Louisiana ,
10247 Algiers Rd Houston,Texas 77041,
undisclosed location Richmond,Texas 77406,
1005 Martin Luther King,Jr. Blvd ,
408 Matamoros St Laredo,Texas 78040,
815 Hidalgo St Laredo,Texas 78040,
1611 Avenue O Lubbock,Texas 79401,
1614 Avenue J Lubbock,Texas 79401,
1319 15th St Lubbock,Texas 79408,
3909 North Street Nacogdoches,Texas 75964,
2908 W. Ohio Midland,Texas 79701,
600 East Wall Street Midland,Texas 79701,
2400 Whitmire Blvd #100 Midland,Texas 79705,
1335 East 6th Street Odessa,Texas 79761,
1354 East 6th Street Odessa,Texas 79761,
810 East 11th Street Odessa,Texas 79761,
1213 West 2nd Street Odessa,Texas 79763,
P.O. Box 1456 Mount Vernon, 75457,
402 Oak Street Texarkana,Texas 75501,
424 Spruce St Texarkana,Arkansas 75504,
450 SW 4th St Suite 310 Paris,Texas 75460,
615 9th Street Southwest Paris,Texas 75460,
1302 N. Louis Victoria,Texas 77901,
705 East Santa Rosa Victoria,Texas 77901,
210 West Broadway Van Horn,Texas 79855,
1300 Travis Wichita Falls,Texas 76301,
403 Seventh Street Wichita Falls,Texas 76307,
1101 30th St. Wichita Falls,Texas 76302,
710 E. Hatton Rd. Wichita Falls,Texas 76302,
150 S. 8th Street Salina,Kansas 67401,
136 W 3rd St Junction City,Kansas 66441,
523 SW Limit Street Leavenworth,Kansas 66048,
202 N Taylor El Dorado,Kansas 67042,
404 w 5th Concordia, 66901,
725 W. Park St. Olathe,Kansas 66061,
420 E. Santa Fe Olathe,Kansas 66061,
1311 Minnesota Ave. Kansas City,Kansas 66102,
1418 Garfield Ave Kansas City,Kansas 66102,
2100 N. 13th St Kansas City,Kansas 66104,
425 E 63rd ST Kansas City,Missouri 64110,
1520 Cherry Street Kansas City,Missouri 64108,
4300 Forest Avenue  Kansas City,Missouri 64110,
918 E 9th Street Kansas City,Missouri 64106,
1100 E. 11th St. Kansas City,Missouri 64106,
705 Virginia Ave Kansas City,Missouri 64106,
750 Paseo Blvd Kansas City, 64106,
2611 E. 11th Street Kansas City,Missouri 64127,
3220 E 23rd St Kansas City,Missouri 64127,
6046 Swope Pkwy Kansas City,Missouri 64130,
3655 N 1360 Rd Lawrence,Kansas 66046,
1112 South 24th St.  Parsons,Kansas 67357,
1706 S. 21st Street Parsons,Kansas 67357,
1809 S Connor Ave Joplin,Missouri 64804,
411 E. 12th Pittsburg,Kansas 66762,
