,0
942,"not disclosed Dallas, Texas 75238"
943,"4411 Lemmon Ave, Ste 201 Dallas, Texas 75219"
944,"4815 Cass Street Dallas, Texas 75235"
945,"5302 Harry Hines Dallas, Texas 75247"
946,"3211 Irving Blvd Dallas, Texas 75247"
947,"2707 Routh Street Dallas, Texas 75201"
948,"218 N 10th St. Garland, Texas 75040"
949,"928 Bluebird Dr Irving, Texas 75061"
950,"828 E 4th St Irving, Texas 75060"
951,"451 West Avenue D Garland, Texas 75046"
952,"402 N. Good Latimer Expy. Dallas, Texas 75204"
953,"1822 Young Street Dallas, Texas 75201"
954,"711 South St. Paul Street Dallas, Texas 75201"
955,"1818 Corsicana Street Dallas, Texas 75201"
956,"1818 Corsicana Street Dallas, Texas 75201"
957,"2929 Hickory Street Dallas, Texas 75226"
958,"1100 Cadiz Dallas, Texas 75215"
959,"3110 Metropolitan Ave Dallas, Texas 75215"
960,"2706 S 2nd AVE  Dallas, Texas 75210"
961,"1128 reverend CBT Smith Dallas, Texas 75203"
962,"PO Box 1601 Allen, Texas 75002"
963,"233 W. 10th Street Dallas, Texas 75208"
964,"224 W Page Ave. Dallas, Texas 75208"
965,"341 W. Woodin Blvd Dallas, Texas 75224"
966,"202 College Street, Suite 101 Grand Prairie, Texas 75050"
967,"522 Shadyway Dr. Dallas, Texas 75232"
968,"401 W Sanford St #1400 Arlington, Texas 76004"
969,"325 W. Division Street Arlington, Texas 76011"
970,"210 W. South St. Arlington, Texas 76010"
971,"1710 N McDonald St McKinney, Texas 75071"
972,"712 West Abram Arlington, Texas  76004"
973,"13134 Nile Drive Dallas, Texas 75253"
974,"1508 E. McKinney Denton, Texas 76202"
975,"1014 West University Drive Denton, Texas 76201"
976,"P.O. Box 1161 Cedar Hill, Texas 75106"
977,"111 S. 15th St. McAllen, Texas 78501"
978,"1901 Cedar McAllen, Texas 78501"
979,"420 North 21st St. McAllen, Texas 78501"
980,"1149 Fort Worth Hwy Weatherford, Texas 76087"
981,"1100 Hemphill St #303 Fort Worth, Texas 76102"
982,"1100 Hemphill Street, Suite 303 Fort Worth, Texas 76104"
983,"929 Hemphill St. Fort Worth, Texas 76104"
984,"512 W. 4th St. Fort Worth, Texas 76102"
985,"1100 E. Lancaster Fort Worth, Texas "
986,"1321 East Lancaster Avenue Fort Worth, Texas 76102"
987,"2400 Cypress St Fort Worth, Texas 76102"
988,"2400 Cypress Street Fort Worth, Texas 76102"
989,"1855 E. Lancaster Fort Worth, Texas 76103"
990,"2701 Birchill Road North Fort Worth, Texas 76105"
991,"3500 Noble Avenue Fort Worth, Texas 76111"
992,"3712 Wichita St, Fort Worth, Texas 76119"
993,"P. O. Box 1923 Springtown, Texas 76082"
994,"14435 FM 730 No. Azle, Texas 76020"
995,"5601 Bridge Street Fort Worth, Texas 76101"
996,"660 County Rd 903 Cleburne, Texas 76033"
997,"2220 cr 144  Alvin, Texas 77511"
998,"210 S. Walnut Webster, Texas 77598"
999,"5105 Timothy Street Texas City , Texas 77591"
1000,"3811 Allen-Genoa Rd Pasadena, Texas 77504"
1001,"421 Oak La Marque, Texas 77568"
1002,"711 Perla Rd Pasadena, Texas 77502"
1003,"3827 Broadway Houston, Texas 77017"
1004,"6342 Ludington Dr Houston,  77035"
1005,"2505 Southmore Houston, Texas 77004"
1006,"3410 Drew Street Houston, Texas 77004"
1007,"5803 Harrisburg Blvd. Houston, Texas 77011"
1008,"4640 Main St. #213 Houston, Texas 77002"
1009,"3209 Austin, St. Houston, Texas 77004"
1010,"1603 McGowen Houston, Texas 77004"
1011,"1111 Lovett Blvd Houston, Texas 77006"
1012,"6300 Chimney Rock Houston, Texas 77081"
1013,"419 Dowling Houston, Texas 77003"
1014,"2009 Congress Street Houston,  77002"
1015,"320 Hamilton St. Houston, Texas 77002"
1016,"1717 Congress Houston, Texas 77002"
1017,"1811 Ruiz Houston, Texas 07705"
1018,"1811 Ruiz St Houston, Texas 77081"
1019,"1212 Prairie Street Houston, Texas 77002"
1020,"1010 Waugh Houston, Texas 77019"
1021,"3406 Wisconsin Street Baytown, Texas 77520"
1022,"1204 W. 18th Ave. Amarillo, Texas 79102"
1023,"613 S. Adams Amarillo, Texas 79101"
1024,"409 S. Monroe St. Amarillo, Texas 79101"
1025,"400 S. Harrison St. Amarillo, Texas 79101"
1026,"209 S. Jackson Amarillo, Texas 79101"
1027,"200 South Tyler St. Amarillo, Texas 79101"
1028,"600 N Tyler St Amarillo, Texas 79107"
1029,"7136 West Interstate 40 Suite B Amarillo, Texas 79101"
1030,"PO Box 7160 Amarillo, Texas 79114"
1031,"1618 N. Ave J Freeport , Texas 77541"
1032,"1618 North Avenue J Freeport, Texas 77541"
1033,"11614 FM 361 Richmond, Texas 77469"
1034,"10501 S.P.I.D. Corpus Christi, Texas 78480"
1035,"919 Leopard St Corpus Christi,  78408"
1036,"709 Waco Street Corpus Christi, Texas 78401"
1037,"513 Sam Rankin St Corpus Christi, Texas 78401"
1038,"513 Sam Rankin Avenue Corpus Christi, Texas 78401"
1039,"513 Sam Rankin Ave. Corpus Christi, Texas 78401"
1040,"210 S. Alameda St. Corpus Christi, Texas 78401"
1041,"513 Josephine Street Corpus Christi, Texas 78401"
1042,"501 Josephine Corpus Christi, Texas 78401"
1043,"813 Buford St Corpus Christi, Texas 78404"
1044,"1919 Leopard Street Corpus Christi, Texas 78408"
1045,"658 Robinson Corpus Christi, Texas 78404"
1046,"507 W. Jefferson Waxahachie, Texas 75165"
1047,"500 E. 7th Austin, Texas 78701"
1048,"821 Gunter Austin, Texas 78702"
1049,"4613 Tannehill Ln, bldg 3 Austin, Texas 78721"
1050,"8505 Cross Park Dr. Suite 120 Austin, Texas 78755"
1051,"1011 Gattis School Rd #110 Round Rock, Texas 78664"
1052,"2610 Elysian Fields Ave. Marshall, Texas 75672"
1053,"3011 West Marshall Longview, Texas 75604"
1054,"3117 W. Marshall Ave Longview, Texas 75606"
1055,"3117 W. Marshall Longview, Texas 75604"
1056,"2675 North State Highway 34 Kaufman, Texas 75142"
1057,"2805 4th St Bay City, Texas 77404"
1058,"5609 E Mt Houston Rd Houston, Texas 77093"
1059,"2605 Parker Road Houston, Texas 77093"
1060,"1203 S Houston Ave Humble, Texas 77347"
1061,"111 South Avenue G Humble, Texas 77338"
1062,"2350 Interstate 10 E Beaumont, Texas 77703"
1063,"2509 Cable Ave. Beaumont, Texas 77703"
1064,"5670 Concord Rd. Beaumont, Texas 77708"
1065,"900 6th St Port Arthur, Texas 77640"
1066,"531 Atlanta Port Arthur, Texas 77640"
1067,"3964 FM 1131 RD Buna, Texas 77612"
1068,"3454 US-281 George West, Texas 78022"
1069,"1217 Mary Street Waco, Texas 76701"
1070,"1421 Austin Ave. Waco, Texas 76701"
1071,"4721 W Waco Dr Waco, Texas 76710"
1072,"4721 W Waco Dr Waco, Texas 76710"
1073,"204 N East St Belton, Texas 76513"
1074,"707 South 11th Temple, Texas 76504"
1075,"1018 East Ave A Temple , Texas 76501"
1076,"412 E Sprott St Killeen, Texas 76541"
1077,"818 North Fourth Street Killeen, Texas 76541"
1078,"105 BCR 212 Florence, Texas 76527"
1079,"6363 De Zavala Road San Antonio, Texas 78228"
1080,"3103 West Avenue San Antonio, Texas 78213"
1081,"5254 Blanco Road San Antonio, Texas 78216"
1082,"7911 Broadway San Antonio, Texas 78209"
1083,"2939 W. Woodlawn Av. San Antonio, Texas 78228"
1084,"945 W. Huisache San Antonio, Texas 78201"
1085,"2102 Buena Vista Street San Antonio, Texas 78207"
1086,"1 Haven for Hope Way San Antonio, Texas 78207"
1087,"519 W Elmira St San Antonio, Texas 78212"
1088,"907 E. Quincy San Antonio, Texas 78215"
1089,"226 Nolan Street San Antonio, Texas 78202"
1090,"626 Nolan St San Antonio, Texas 78202"
1091,"414 N. Hackberry San Antonio, Texas 78202"
1092,"500 E. Academy Brenham, Texas 77833"
1093,"5899 Highway 3112 Vinton, Louisiana 6233"
1094,"95 E Price Rd Brownsville, Texas 78521"
1095,"1254 E Tyler St Brownsville, Texas 78520"
1096,"656 N Minnesota Ave Brownsville, Texas 78521"
1097,"30094 Marydale Rd San Benito, Texas 78586"
1098,"514 S. E Street Harlingen, Texas 78550"
1099,"616 W. Taylor Harlingen, Texas 78550"
1100,"1001 Belle Plain St.  Brownwood, Texas 76801"
1101,"403 Lakeway Dr Brownwood, Texas 76801"
1102,"408 East 24th Street Bryan, Texas 77803"
1103,"408 E. 24th Street College Station, Texas 77803"
1104,"410 South Randolph Avenue Bryan, Texas 77803"
1105,"1700 Groesbeck Bryan, Texas 77803"
1106,"2505 S. College  Bryan, Texas 77801"
1107,"1806 Wilde Oak Circle Bryan, Texas 77802"
1108,"518 S. Guadalupe St San Marcos, Texas 78666"
1109,"108 E Halstead Avenue Copperas Cove, Texas 76522"
1110,"519 East Cotton Street Longview, Texas 75602"
1111,"4516 Old Yale St. Houston, Texas 77018"
1112,"4516 Old Yale St. Houston, Texas 77018"
1113,"1701 Jacquelyn Drive Houston, Texas 77055"
1114,"2005 Jacquelyn Houston, Texas 77055"
1115,"13617 Kaltenbrun Road Houston, Texas 77086"
1116,"15555 Kuykendahl Rd. Houston, Texas 77090"
1117,"1600 Lake Front Circle, Suite 100 The Woodlands, Texas 77387"
1118,"P.O. Box 349 Greenville, Texas 75403"
1119,"1401 Airport Rd Conroe, Texas 77301"
1120,"603 South 6th Street Conroe, Texas 77301"
1121,"301 Avenue E Conroe, Texas 77301"
1122,"1207 Thompson Ave Conroe, Texas 77301"
1123,"1022 Mccall Ave Conroe, Texas 77301"
1124,"4495 N. Frazier Conroe, Texas 77303"
1125,"4501 N. Frazier Conroe, Texas 77303"
1126,"1607 South Washington Avenue Livingston, Texas 77351"
1127,"301 E 3rd St Colorado City, Texas 79512"
1128,"8555 E. Loop 1604 North Converse, Texas 78109 Converse, Texas 78109"
1129,"1115 Mission Rd. San Antonio, Texas 78210"
1130,"811-A Martin Luther King Jr. Copperas Cove, Texas 76522"
1131,"601 51st St Galveston, Texas 77550"
1132,"2420 Winnie Galveston, Texas 77550"
1133,"201 S. First Street Galveston, Texas 77550"
1134,"2127 Avenue M Galveston, Texas 77550"
1135,"331 W. Morton Denison, Texas 75020"
1136,"5700 Texoma Pkwy Sherman, Texas 75090"
1137,"1602 E Lamar St Sherman, Texas 75091"
1138,"323 Moody Street Lufkin, Texas 75901"
1139,"306 W 7th St Dumas, Texas 79029"
1140,"3700 Altura Ave El Paso, Texas 79930"
1141,"5300 Paisano El Paso, Texas 79905"
1142,"4300 E. Paisano Dr El Paso, Texas 79905"
1143,"221 N. Lee Street El Paso, Texas 79901"
1144,"1220 Myrtle Avenue El Paso, Texas 79901"
1145,"1208 Myrtle Avenue El Paso, Texas 79901"
1146,"1003 E. San Antonio El Paso, Texas 79901"
1147,"1014 S Virginia St El Paso, Texas 79901"
1148,"1020 N. Campbell Street El Paso, Texas 79902"
1149,"920 S. Oregon St. El Paso, Texas 79901"
1150,"920 S Oregon St El Paso, Texas 79901"
1151,"8023 San Jose Road El Paso, Texas 79915"
1152,"429 Washington Kerrville, Texas 78028"
1153,"633 North Broadway Avenue Tyler, Texas 75702"
1154,"503 Second Street Graham, Texas 76450"
1155,"580 West Main MANY, Louisiana "
1156,"10247 Algiers Rd Houston, Texas 77041"
1157,"undisclosed location Richmond, Texas 77406"
1158,"1005 Martin Luther King, Jr. Blvd "
1159,"408 Matamoros St Laredo, Texas 78040"
1160,"815 Hidalgo St Laredo, Texas 78040"
1161,"1611 Avenue O Lubbock, Texas 79401"
1162,"1614 Avenue J Lubbock, Texas 79401"
1163,"1319 15th St Lubbock, Texas 79408"
1164,"3909 North Street Nacogdoches, Texas 75964"
1165,"2908 W. Ohio Midland, Texas 79701"
1166,"600 East Wall Street Midland, Texas 79701"
1167,"2400 Whitmire Blvd #100 Midland, Texas 79705"
1168,"1335 East 6th Street Odessa, Texas 79761"
1169,"1354 East 6th Street Odessa, Texas 79761"
1170,"810 East 11th Street Odessa, Texas 79761"
1171,"1213 West 2nd Street Odessa, Texas 79763"
1172,"P.O. Box 1456 Mount Vernon,  75457"
1173,"402 Oak Street Texarkana, Texas 75501"
1174,"424 Spruce St Texarkana, Arkansas 75504"
1175,"450 SW 4th St Suite 310 Paris, Texas 75460"
1176,"615 9th Street Southwest Paris, Texas 75460"
1177,"1302 N. Louis Victoria, Texas 77901"
1178,"705 East Santa Rosa Victoria, Texas 77901"
1179,"210 West Broadway Van Horn, Texas 79855"
1180,"1300 Travis Wichita Falls, Texas 76301"
1181,"403 Seventh Street Wichita Falls, Texas 76307"
1182,"1101 30th St. Wichita Falls, Texas 76302"
1183,"710 E. Hatton Rd. Wichita Falls, Texas 76302"
1184,"150 S. 8th Street Salina, Kansas 67401"
1185,"136 W 3rd St Junction City, Kansas 66441"
1186,"523 SW Limit Street Leavenworth, Kansas 66048"
1187,"202 N Taylor El Dorado, Kansas 67042"
1188,"404 w 5th Concordia,  66901"
1189,"725 W. Park St. Olathe, Kansas 66061"
1190,"420 E. Santa Fe Olathe, Kansas 66061"
1191,"1311 Minnesota Ave. Kansas City, Kansas 66102"
1192,"1418 Garfield Ave Kansas City, Kansas 66102"
1193,"2100 N. 13th St Kansas City, Kansas 66104"
1194,"425 E 63rd ST Kansas City, Missouri 64110"
1195,"1520 Cherry Street Kansas City, Missouri 64108"
1196,"4300 Forest Avenue  Kansas City, Missouri 64110"
1197,"918 E 9th Street Kansas City, Missouri 64106"
1198,"1100 E. 11th St. Kansas City, Missouri 64106"
1199,"705 Virginia Ave Kansas City, Missouri 64106"
1200,"750 Paseo Blvd Kansas City,  64106"
1201,"2611 E. 11th Street Kansas City, Missouri 64127"
1202,"3220 E 23rd St Kansas City, Missouri 64127"
1203,"6046 Swope Pkwy Kansas City, Missouri 64130"
1204,"3655 N 1360 Rd Lawrence, Kansas 66046"
1205,"1112 South 24th St.  Parsons, Kansas 67357"
1206,"1706 S. 21st Street Parsons, Kansas 67357"
1207,"1809 S Connor Ave Joplin, Missouri 64804"
1208,"411 E. 12th Pittsburg, Kansas 66762"
1209,"917 S Main St Joplin, Missouri 64802"
1210,"531 Kentucky Ave Joplin, Missouri 64801"
1211,"1119 Merchant Emporia, Kansas 66801"
1212,"418 Market Street Emporia, Kansas 66801"
1213,"802 N 5th St Garden City, Kansas 67846"
1214,"400 West 2nd Hutchinson, Kansas 67501"
1215,"212 1/2 West Laurel Independence, Kansas 67301"
1216,"3721 Delridge Independence, Missouri 64055"
1217,"14700 E Truman Rd Independence, Missouri 64050"
1218,"1015 N Washington Liberal, Kansas 67901"
1219,"600 N. Kansas Ave. Topeka, Kansas 66608"
1220,"600 N. Kansas Topeka, Kansas 66608"
1221,"900 West Broadway, Building 7 Newton, Kansas 67114"
1222,"P.O. Box 754 Harrisonville, Missouri 64701"
1223,"841 N. Broadway Wichita, Kansas 67214"
1224,"320 E Central Wichita, Kansas 67202"
1225,"402 E. 2nd Street Wichita, Kansas 67202"
1226,"2800 N. Hillside St. Wichita, Kansas 67219"
1227,"100 S Main St Carthage, Missouri 64836"
1228,"1716 Summers Road Salina, Kansas 67402"
1229,"P.O. Box 375 Madison, South Dakota 57042"
1230,"10955 Watertank Road Belle Fourche, South Dakota 57717"
1231,"615 Kansas City St Rapid City, South Dakota 57701"
1232,"30 Main Street Rapid City, South Dakota 57701"
1233,"1301 E Austin S Sioux Falls, South Dakota 57103"
1234,"101 N. Indiana Ave Sioux Falls, South Dakota 57103"
1235,"200 N. Weber Avenue Sioux Falls, South Dakota 57102"
1236,"P.O. Box 431 Burke, South Dakota 57523"
1237,"823 Dupree St. Eagle butte, South Dakota 57625"
1238,"P.O. Box 398 Pierre, South Dakota 57501"
1239,"700 1st Avenue E Lemmon, South Dakota 57638"
1240,"P.O. Box 245 Lemmon, South Dakota 57638"
1241,"address withheld Mitchell, South Dakota 57301"
1242,"1 Veterans Drive Pine Ridge, South Dakota 57770"
1243,"202 5th Street SE Watertown, South Dakota 57201"
1244,"412 E. 4th Street Yankton, South Dakota 57078"
1245,"529 16th Avenue, North St. Cloud, Minnesota 56303"
1246,"2202 Stevens Street Albert Lea, Minnesota 56007"
1247,"409 1st Ave NE Austin, Minnesota 55912"
1248,"3300 4th Avenue North #14 Anoka, Minnesota 55303"
1249,"525 North 7th St Minneapolis, Minnesota 55405"
1250,"401 North 7th St Minneapolis, Minnesota 55405"
1251,"177 Glenwood Avenue North Minneapolis, Minnesota 55405"
1252,"165 Glenwood Avenue Minneapolis, Minnesota 55405"
1253,"1010 Currie Ave Minneapolis, Minnesota 55403"
1254,"614 Third Street South Minneapolis, Minnesota 55415"
1255,"215 South 8th Street Minneapolis, Minnesota 55402"
1256,"510 South 8th Street Minneapolis, Minnesota 55404"
1257,"2309 Nicollet Avenue South Minneapolis, Minnesota 55404"
1258,"2315 Chicago Ave. So. Minneapolis, Minnesota 55404"
1259,"2740 1st Ave S Minneapolis, Minnesota 55408"
1260,"2740 1st Ave S Minneapolis, Minnesota 55404"
1261,"14383 Forest Blvd. N. Hugo, Minnesota 55038"
1262,"1121 East 46th  Street Minneapolis, Minnesota 55407"
1263,"1088 University Ave W St. Paul, Minnesota 55104"
1264,"435 East University Avenue St. Paul, Minnesota 55101"
1265,"435 Dorothy Day Place St. Paul, Minnesota 55102"
1266,"435 University Ave E St. Paul, Minnesota 55130"
1267,"244 Tenth Street East Saint Paul, Minnesota 55101"
1268,"183 Old Sixth Street Saint Paul, Minnesota 55102"
1269,"77 E 9th Street St. Paul, Minnesota 55101"
1270,"2001 Van Dyke Street Maplewood, Minnesota 55109"
1271,"310 S. Ashland St. South Cambridge, Minnesota 55008"
1272,"3430 Wescott Woodlands Eagan, Minnesota 55123"
1273,"7800 West County Road 42 Apple Valley, Minnesota 55124"
1274,"400 U.S. Highway 10 S. St Cloud, Minnesota 56304"
1275,"525 Mississippi Ave NW Bemidji, Minnesota 56601"
1276,"525 Mississippi Avenue Bemidji, Minnesota 56601"
1277,"414 Lincoln Ave SE Bemidji, Minnesota 56601"
1278,"919 Hood Street La Crosse, Wisconsin 54601"
1279,"1910 3rd St W Duluth, Minnesota 55806"
1280,"125 North 1st Avenue West Duluth, Minnesota 55802"
1281,"219 East First Street Duluth, Minnesota 55802"
1282,"220 East 3rd Street Crookston, Minnesota 56716"
1283,"250 East Main Street Owatonna, Minnesota 55060"
1284,"501 SW 1st Ave Grand Rapids, Minnesota 55744"
1285,"811 7th Street NW Rochester, Minnesota  5590"
1286,"703 1st SW Rochester, Minnesota 55902"
1287,"419 S. Broad Street Mankato, Minnesota 56001"
1288,"423 S. Broad St Mankato, Minnesota 56001"
1289,"606 Center St New Ulm,  56073"
1290,"802 W Broadway St Winona, Minnesota 55987"
1291,"354 Public Square Greenfield, Iowa 50849"
1292,"304 Chestnut Atlantic, Iowa 50022"
1293,"3333 E. University Ave Des Moines, Iowa 50317"
1294,"1310 6th Ave Des Moines, Iowa 50314"
1295,"1420 Mulberry Street Des Moines, Iowa 1420 "
1296,"2301 Hickman Road Des Moines, Iowa 50310"
1297,"225 S. Kellogg Ave Ames, Iowa 50010"
1298,"Address Confidential Ames, Iowa 50010"
1299,"3015 12th Avenue SW Cedar Rapids, Iowa 52404"
1300,"603 Second Street S.W. Cedar Rapids, Iowa 52404"
1301,"318 5th Street SE Cedar Rapids, Iowa 52401"
1302,"1027 5th Avenue SE Cedar Rapids, Iowa 52403"
1303,"1247 4th Avenue SE Cedar Rapids, Iowa 52403"
1304,"211 Park Ct SE Cedar Rapids , Iowa 52403"
1305,"429 Southgate Avenue Iowa City, Iowa 52240"
1306,"100 Kirkwood Blvd Davenport, Iowa 52801"
1307,"2209 3rd ave Rock Island, Illinois 61201"
1308,"824 West 3rd Street Davenport, Iowa 52802"
1309,"1016 West 5th Street Davenport, Iowa 52802"
1310,"505 9th Ave. S. Clinton, Iowa 52732"
1311,"217 6th Avenue South Clinton, Iowa 52731"
1312,"123 Marshall St Burlington, Iowa 52601"
1313,"222 Logan Ave Waterloo, Iowa 50703"
1314,"216 Logan Ave Waterloo, Iowa 50703"
1315,"1003 Mulberry St. WATERLOO, Iowa 50703"
1316,"1003 Mulberry St Waterloo , Iowa 50703"
1317,"420 16th St. NW Waverly, Iowa 50677"
1318,"307 N Monroe Mason City, Iowa 50401"
1319,"311 N Monroe Mason City , Iowa 50401"
1320,"Adams Ave and 2nd Street SW Mason City, Iowa 50401"
1321,"202 1st Street NW Mason City, Iowa 50401"
1322,"420 3rd St. Mason City, Iowa 50401"
1323,"1592 Locust St Dubuque, Iowa 52001"
1324,"1111 Bluff Street Dubuque, Iowa 52001"
1325,"1561 Jackson Street Dubuque, Iowa 52001"
1326,"398 Main Street Dubuque, Iowa 52004"
1327,"PO Box 639 Platteville, Wisconsin 53818"
1328,"80 Market St Platteville, Wisconsin 53818"
1329,"1345 Water Street Platteville, Wisconsin 53818"
1330,"1021 1st Av. N Fort Dodge, Iowa 50501"
1331,"312 Iowa Ave Muscatine, Iowa 52761"
1332,"222 E 12 Street Ada, Oklahoma 74820"
1333,"1212 Harris St. Ardmore, Oklahoma 73401"
1334,"11 A. St. NW Ardmore, Oklahoma 73401"
1335,"822 Johnstone Ave Bartlesville,  74003"
1336,"1411 West Hensley Boulevard   Bartlesville, Oklahoma 74003"
1337,"4352 S 91st E Ave Tulsa,  74145"
1338,"1048 Louisville ave. Tulsa, Oklahoma 74115"
1339,"311 South Madison Tulsa, Oklahoma 74120"
1340,"102 N. Denver Avenue Tulsa, Oklahoma 74103"
1341,"415 W. Archer Street Tulsa, Oklahoma 74103"
1342,"506 N. Cheyenne Ave Tulsa, Oklahoma 74103"
1343,"2401 Charles Page Blvd Tulsa, Oklahoma 74127"
1344,"215 East 4th Street Chandler, Oklahoma 74834"
1345,"416 N 7th Avenue Stroud, Oklahoma 74079"
1346,"39604 W. Independence, P.O. Box 3044 Shawnee, Oklahoma 74802"
1347,"P.O. Box 3044 Shawnee, Oklahoma 74802"
1348,"323 Callahan Muskogee, Oklahoma 74403"
1349,"214 W Main Street Marlow, Oklahoma  73055"
1350,"8712 EAST MAIN STREET MIDWEST CITY, Oklahoma 73110"
1351,"1001 N Pennsylvania Ave Oklahoma City, Oklahoma 731073107"
1352,"not disclosed Oklahoma City, Oklahoma "
1353,"800 W. California Ave Oklahoma City, Oklahoma 73106"
1354,"1335 West Sheridan Avenue Oklahoma City, Oklahoma 73106"
1355,"616 NW 21 St Oklahoma City, Oklahoma 73103"
1356,"2205 Exchange Avenue Oklahoma City, Oklahoma 73108"
1357,"3131 N Pennsylvania oklahoma city, Oklahoma 73112"
1358,"7 N. Broadway Edmond, Oklahoma 73034"
1359,"P.O. Box 5089 Norman, Oklahoma  73070"
1360,"104 W Comanche St Norman, Oklahoma 73069"
1361,"700 Asp, Ste. 2 Norman, Oklahoma 73069"
1362,"1004 N 5th Duncan, Oklahoma 73533"
1363,"815 W. Maine Enid, Oklahoma 73701"
1364,"214 N Morton Ave Okmulgee, Oklahoma 74447"
1365,"709 E. Brewer Salina, Oklahoma 74365"
1366,"1402 N Inglewood St Siloam Springs, Arkansas 72761"
1367,"1804 S.Perkins Rd. Stillwater, Oklahoma 74074"
1368,"409 North Ellison Street Guymon, Oklahoma 73942"
1369,"805 Washington Clarksville, Texas 75426"
1370,"901 SW E Avenue Lawton , Oklahoma 73501"
1371,"1203 SW Texas Ave Lawton, Oklahoma 73501"
1372,"1619 N. Vinita Tahlequah, Oklahoma 74465"
1373,"20 E Cherokee Ave McAlester, Oklahoma 74501"
1374,"904 North 9th Street McAlester, Oklahoma 74501"
1375,"1210 E. Cherokee McAlester, Oklahoma 74501"
1376,"5603 S 14th St Fort Smith, Arkansas 72901"
1377,"3015 South 14th Street Fort Smith, Arkansas 72901"
1378,"301 South E Street Fort Smith, Arkansas 72901"
1379,"301 North 6th Street Fort Smith, Arkansas 72901"
1380,"310 N. F Street Fort Smith, Arkansas 72901"
1381,"3900 North Armour Avenue Fort Smith, Arkansas 72904"
1382,"201 Drennen St Van Buren, Arkansas 72956"
1383,"1220 7th Street Woodward, Oklahoma 73801"
1384,"1404 Murray Street ALEXANDRIA, Louisiana 71301"
1385,"2807 Levin Street Alexandria, Louisiana 71301"
1386,"2804 Hynson Street Alexandria, Louisiana 71301"
1387,"29 Bolton Ave Alexandria, Louisiana 71301"
1388,"620 Beauregard Alexandria, Louisiana "
1389,"CONFIDENTIAL ALEXANDRIA, Louisiana "
1390,"81 & 85 Rainbow Drive Pineville, Louisiana "
1391,"CONFIDENTIAL Hammond, Louisiana "
1392,"Confidential Livingston, Louisiana "
1393,"CONFIDENTIAL Ruston, Louisiana 71270"
1394,"104 Fuller Street Minden, Louisiana 71055"
1395,"815 Avenue F Bogalusa, Louisiana "
1396,"P.O. Box 1179 SLIDELL, Mandeville 70470"
1397,"525 Crockett St. Shreveport, Louisiana "
1398,"901 McNeil St Shreveport, Louisiana 71101"
1399,"901 McNeil St Shreveport, Louisiana 71101"
1400,"700 Pierre Avenue Shreveport, Louisiana 71101"
1401,"147 E Stoner Ave Shreveport, Louisiana 71101"
1402,"814 Cotton Street Shreveport, Louisiana 71101"
1403,"1109 Highland Avenue Shreveport, Louisiana "
1404,"740 Austin Place Shreveport, Louisiana 71101"
1405,"762 Austen Pl Shreveport, Louisiana 71101"
1406,"1244 Sprague St. Shreveport, Louisiana 71161"
1407,"3000 Knight St, Bldg 5, Suite 100 Shreveport, Louisiana 71105"
1408,"2033 Texas Avenue Shreveport, Louisiana 71103"
1409,"2350 Levy Street Shreveport, Louisiana 71103"
1410,"7361 Airline Highway Baton Rouge, Louisiana 70802"
1411,"1750 Laurel St Baton Rouge, Louisiana 70821"
1412,"1270 Laurel Street Baton Rouge, Louisiana 70802"
1413,"1272 Laurel St. Baton Rouge, Louisiana 70802"
1414,"1623 Convention St Baton Rouge, Louisiana 70802"
1415,"153 North 17th Street Baton Rouge, Louisiana 70802"
1416,"1050 Convention St. Baton Rouge, Louisiana 70802"
1417,"260 South Acadian Thruway BATON ROUGE, Louisiana 70802"
1418,"130 South 11th Street Baton Rouge, Louisiana 70802"
1419,"737 East Blvd Baton Rouge, Louisiana 70802"
1420,"Confidential Gonzales, Louisiana 70737"
1421,"7200 Desaird St. Monroe, Maine 71203"
1422,"1900 Garret Rd. Monroe, Louisiana 8422"
1423,"807 Desiard St. Monroe, Louisiana 71202"
1424,"Confidential Monroe, Louisiana "
1425,"SCATTERED SITE APTS: Monroe, Louisiana "
1426,"1453 W Willow St Lafayette, Louisiana 1026"
1427,"425 ST. JOHN ST. LAFAYETTE, Louisiana 70501"
1428,"501 St. John Street Lafayette, Louisiana 70501"
1429,"PO Box 2747 Lafayette, Louisiana "
1430,"Confidential St. Martinville, Louisiana "
1431,"307 Robertson Street New Iberia, Louisiana 70560"
1432,"PO Box 10207 New Iberia, Louisiana 70562"
1433,"404 W Admiral Doyle New Iberia, Louisiana 70560"
1434,"704 W. South Street Opelousas, Louisiana 70570"
1435,"3020 Legion St New Orleans, Louisiana 70056"
1436,"P.O. Box 871371 New Orleans, Louisiana 70187"
1437,"2824 Dauphine St New Orleans, Louisiana 70117"
1438,"611 North Rampart Street New Orleans, Louisiana 3505"
1439,"843 Camp St New Orleans, Louisiana 70130"
1440,"1160 Camp Street New Orleans, Louisiana 4202"
1441,"1130 Oretha Castle Haley Blvd New Orleans, Louisiana 70113"
1442,"1528 Oretha Castle Haley Blvd New Orleans, Louisiana "
1443,"1125 North Tonti Street New Orleans, Louisiana 70119"
1444,"2020 S Liberty St New Orleans, Louisiana 70113"
1445,"1401 Delachaise Street New Orleans, Louisiana 3520"
1446,"4526 S Claiborne Ave NEW ORLEANS, Louisiana 70125"
1447,"1101 Barataria Blvd Marrero, Louisiana 70072"
