,0
815,Uintah County Turning Point - Homeless Shelter Vernal Utah
816,Family Services Department JOHNSON COUNTY Buffalo Wyoming
817,Life Steps Community - Transitional Housing Center Casper Wyoming
818,Central Wyoming Rescue Mission Casper Wyoming
819,PEAK WELLNESS CENTER Cheyenne Wyoming
820,VETERANS ADMIN. MEDICAL CENTER Cheyenne Wyoming
821,SALVATION ARMY Cheyenne Wyoming
822,VA HOMELESS PROGRAM Cheyenne Wyoming
823,Welcome Mat Day Center Cheyenne Wyoming
824,Comea House Cheyenne Wyoming
825,COMEA House Resource Center Cheyenne Wyoming
826,CHEYENNE HOUSING AUTHORITY Cheyenne Wyoming
827,Richards Center Cheyenne Wyoming
828,FATHER HUBBARD'S CUPBOARD Douglas Wyoming
829,Waystation Gillette Wyoming
830,CHRYSALIS HOUSE Pine Bluffs Wyoming
831,Bell Park Tower Sheridan Wyoming
832,Sheriden Community Shelter Sheridan Wyoming
833,La Puente Home Shelter Alamosa Colorado
834,Aspen Homeless Shelter Aspen  Colorado
835,Comitis Crisis Center Aurora Colorado
836,HOPE Program - HIV Day Shelter Denver 
837,The Gathering Place Denver Colorado
838,Warren Village Denver Colorado
839,Denver Rescue Mission Denver 
840,Joy House Denver Colorado
841,Christ Body Ministries Denver 
842,House of Hope - The Family Tree Englewood 
843,New Genesis (for men and women) Denver Colorado
844,New Genesis Denver Colorado
845,Sacred Heart House of Denver Denver Colorado
846,Urban Peak Denver Denver Colorado
847,St Francis Center Denver 
848,Colorado Coalition Homeless Denver Colorado
849,The Delores Project Shelters Denver Colorado
850,Catholic Samaritan House Denver 
851,Catholic Charities Northeast Emergency Assistance Center Commerce City Colorado
852,Salvation Army Crossroads Men's Shelter Denver Colorado
853,ACCESS Housing Commerce City Colorado
854,The Salvation Army Lambuth Family Center Denver Colorado
855,"Family Tree Inc in Wheat Ridge, Colorado  Wheat Ridge "
856,Growing Home Westminster 
857,Shannon's Hope Maternity Home Wheat Ridge Colorado
858,Cold Weather Care Westminster Colorado
859,Almost Home - Shelter and Housing Assistance Brighton Colorado
860,Safehouse Progressive Alliance Lafayette Colorado
861,The Little Flower Maternity Home Louisville Colorado
862,Feed My Sheep Homeless Ministry Glenwood Springs  Colorado
863,Boulder Outreach for Homeless Overflow - BOHO Boulder Colorado
864,Bridge House Boulder Colorado
865,Attention Homes Emergency Shelter For Children Boulder Colorado
866,Safehouse Progressive Alliance Boulder Colorado
867,Jeffco Self-Sufficiency Council Lakewood 
868,EFAA (Emergency Family Assistance Association) Boulder Colorado
869,Boulder Shelter for the Homeless Boulder Colorado
870,Inn Between Longmont Colorado
871,HOPE- Homeless Outreach Providing Encouragement Longmont Colorado
872,Safe Shelter of St. Vrain Valley Longmont Colorado
873,137 Homeless Connection Loveland Colorado
874,Neighbor To Neighbor Loveland 
875,Family Promise of Larimer County Loveland Colorado
876,Hope @ Miracle House Fort Lupton Colorado
877,R.J. Montgomery Center  - Homeless Shelter Colorado Springs Colorado
878,Greccio Housing Colorado Springs 
879,The House Youth Shelter Grand Junction Colorado
880,Rescue Mission Family Shelter Grand Junction Colorado
881,Salvation Army Day Center Grand Junction Colorado
882,Grand Valley Catholic Outreach Day Center Grand Junction Colorado
883,HomewardBound of the Grand Valley Grand Junction Colorado
884,Salvation Army Colorado Springs Colorado
885,Pikes Peak United Way - Homeward Pikes Peak Colorado Springs Colorado
886,Family Promise of Colorado Springs Colorado Springs 
887,Ecumenical Social Ministries Colorado Springs 
888,Catholic Charities Marian House & Hanifen Center Colorado Springs 
889,Urban Peak Colorado Springs Colorado Springs Colorado
890,Springs Rescue Mission Colorado Springs Colorado
891,Partners In Housing Colorado Springs Colorado
892,The Bridge Emergency Shelter Cortez 
893,Durango Community Shelter Durango Colorado
894,Greeley Transitional House Greeley Colorado
895,Alternative Homes for Youth Greeley Colorado
896,Guadalupe Community Center - Guadalupe Shelter Greeley Colorado
897,Fort Collins Rescue Mission Fort Collins Colorado
898,Catholic Charities Norther - Fort Collins Fort Collins Colorado
899,Sister Mary Alice Center For Hope Fort Collins Colorado
900,Springfield Court Apts Fort Collins Colorado
901,Pueblo Rescue Mission New Shelter Pueblo Colorado
902,New Day Albuquerque New Mexico
903,AOC Men’s Overnight Emergency Shelter Albuquerque New Mexico
904,The Rock at NoonDay (formerly Noon Day Ministries) Albuquerque New Mexico
905,Family Promise of Albuquerque Family Shelter Albuquerque New Mexico
906,Susan B. Sager Day Shelter Albuquerque New Mexico
907,Salvation Army Albuquerque New Mexico
908,Shelter for Victims of Domestic Violence - Women's Community Association Albuquerque New Mexico
909,Maria Amadea Shelter Albuquerque New Mexico
910,Albuquerque Rescue Mission - Steelbridge Albuquerque New Mexico
911,Good Shepherd Center Albuquerque New Mexico
912,Transitional Living Center Albuquerque New Mexico
913,The Shelter Albuquerque New Mexico
914,Barrett House Albuquerque New Mexico
915,Proyecto La Luz Transitional Housing - Catholic Charities Albuquerque New Mexico
916,Joy Junction Albuquerque New Mexico
917,Haven of Love Albuquerque New Mexico
918,"Hopeworks - Shelter, Behavioral Health Albuquerque New Mexico"
919,Taos Mens Shelter Taos New Mexico
920,The DreamTree Project  Taos New Mexico
921,Carlsbad Community of Hope Center Inc. Carlsbad New Mexico
922,Lighthouse Mission Clovis Clovis New Mexico
923,"St, Vincent de Paul Deming New Mexico"
924,St. Elizabeth Shelter - Men's Emergency Shelter Santa Fe New Mexico
925,Casa Familia Urgent Transition Center Emergency Shelter for Women and Families Santa Fe New Mexico
926,Interfaith Community Shelter - Seasonal Shelter ONLY Santa Fe New Mexico
927,Sonrisa Family Supportive Living Program Santa Fe New Mexico
928,The Roof Shelter Farmington New Mexico
929,PATH (People Assisting Homeless) Farmington New Mexico
930,Las Cruces Gospel Rescue Mission Las Cruces New Mexico
931,Casa de Samaritan Las Vegas New Mexico
932,Silver City Gospel Mission Silver City New Mexico
933,Puerto Seguero Socorro New Mexico
934,Harmony Family Services Emergency Shelter For Children Abilene Texas
935,Love and Care Ministries Homeless Assistance Abilene Texas
936,Abilene Hope Haven Abilene Texas
937,Salvation Army Abilene Homeless Shelter Abilene Texas
938,Emily's Place Transitional Housing For Women Plano Texas
939,River of Life Homes - ROLH Richardson Texas
940,Hope's Door New Beginning Center Plano Texas
941,City House Plano Texas
942,River Of Life Homes For Women and Children Dallas Texas
943,Genesis Women's Shelter Dallas Texas
944,UGM Center of Hope - Shelter for single women and children Dallas Texas
945,Salvation Army Dallas Shelter and Services - Carr P. Collins Social Service Center Dallas Texas
946,Union Gospel Mission Dallas Texas
947,Turtle Creek Manor Dallas Texas
948,Hope's Door New Beginning Center Garland Texas
949,Brighter Tomorrows Irving Texas
950,Living World Men's Home Irving Texas
951,Salvation Army Garland TX Garland Texas
952,Shared Housing Dallas Texas
953,The Stewpot Dallas Dallas Texas
954,Family Gateway Dallas Texas
955,The Bridge North Texas Dallas Texas
956,Calvert Place Men's Shelter Dallas Texas
957,Austin Street Center - Austin Street Shelter Dallas Texas
958,Dallas Life Foundation Dallas Texas
959,"Eden Outreach, Inc. Dallas Texas"
960,D.I.S.C MINISTRIES Dallas Texas
961,ARM Ministries - Adult Rehab Dallas Texas
962,Family Promise Collin County Allen Texas
963,Homeward Bound  Inc Dallas Texas
964,Promise House Dallas Texas
965,The B & W House Dallas Texas
966,"Lifeline Shelter for Families, Inc. Grand Prairie Texas"
967,Living Word In The CliffS Ministries Dallas Texas
968,Safehaven of Tarrant County - Arlington Resource Center Arlington Texas
969,Arlington Life Shelter Arlington Texas
970,Mission Arlington Arlington Texas
971,The Samaritan Inn McKinney McKinney Texas
972,Arlington Family Life Shelter Arlington Texas
973,Soul's Harbor Dallas Texas
974,Salvation Army Shelter Shelter Denton TX Denton Texas
975,Friends of the Family Denton Texas
976,"Bridges Safehouse, Inc Cedar Hill Texas"
977,Catholic Charities Respite Center Shelter McAllen Texas
978,"Victory Ministries of the Rio Grande Valley, Inc McAllen Texas"
979,Mujeres Unidas/Women Together McAllen Texas
980,Freedom House Weatherford Texas
981,SafeHaven Of Tarrant County Fort Worth Texas
982,SafeHaven of Tarrant County - Victims and Their Children Fort Worth Texas
983,Tarrant County Samaritan House Fort Worth Texas
984,Fort Worth YWCA Temporary Shelter For Women Fort Worth Texas
985,Day Resource Center Fort Worth Texas
986,Union Gospel Mission of Tarrant County Fort Worth Texas
987,Presbyterian Night Shelter For Single Women and Children Fort Worth Texas
988,Presbyterian Night Shelter Fort Worth Texas
989,The Salvation Army Fort Worth Shelter Fort Worth Texas
990,Catholic Charities Fort Worth Texas
991,Cornerstone Assistance Network Fort Worth Texas
992,ACH Child and Family Services Fort Worth Texas
993,"CLOSED: Liberty Lighthouse, Inc. Springtown Texas"
994,Green Light Ministries Brother to Brother Azle Texas
995,Huma-Faith Fort Worth Texas
996,Johnson County Family Crisis Center Cleburne Texas
997,Desire To Live Assisted Living Alvin Texas
998,Bay Area Turning Point Webster Texas
999,Worthy Ministries Inc  Texas City  Texas
1000,Bridge Over Troubled Water Inc Pasadena Texas
1001,True Courage La Marque Texas
1002,Sarah's House Pasadena Texas
1003,"Crossroads At Park Place, Inc. Houston Texas"
1004,Grace and Joy Transitional Living  Houston 
1005,Lil Audrey's Safe Place  Houston Texas
1006,Madge Bush Transitional Living Center Houston Texas
1007,The Open Door Mission Houston Texas
1008,U.S. Veterans Initiative Veterans Seeking Housing Houston Texas
1009,Magnificat Houses Houston Texas
1010,Salvation Army Houston Family Residence Houston Texas
1011,Covenant House Texas Houston Texas
1012,Chimney Rock Center Harris County Protective Services for Children Houston Texas
1013,Star of Hope - Women & Family Emergency Shelter Houston Texas
1014,Miryam's Hostel - Loaves and Fishes Houston 
1015,New Hope Housing  Inc. Houston Texas
1016,Salvation Army Center of Hope Houston Texas
1017,Doris and Carlos Morris Mens Development Center Houston Texas
1018,Star of Hope - Men's Development Center Houston Texas
1019,The Beacon Houston Texas
1020,Houston Area Women's Center Houston Texas
1021,Bay Area Homeless Services Baytown Texas
1022,Martha's Home Inc. Amarillo Texas
1023,City of Refuge (day refuge - sack lunches and clothing) Amarillo Texas
1024,Downtown Women's Center Amarillo Texas
1025,Salvation Army of Amarillo Shelter Amarillo Texas
1026,Another Chance House Amarillo Texas
1027,Guyon Saunders Resource Center - Community Day Room Amarillo Texas
1028,Faith City Mission Amarillo Texas
1029,Family Support Services Amarillo Texas
1030,Patsy's Place Transitional Home Amarillo Texas
1031,The Salvation Army Shelter Freeport TX Freeport  Texas
1032,"Salvation Army of Freeport, Texas Shelter Freeport Texas"
1033,Parks Youth Ranch Richmond Texas
1034,Timon's Ministries Day Resource Center Corpus Christi Texas
1035,Rustic House Shelter Corpus Christi Corpus Christi 
1036,Search for Truth Ministry Corpus Christi Texas
1037,Mother Teresa Shelter & Transitional Housing For Men Corpus Christi Texas
1038,Mother Teresa Shelter Corpus Christi Texas
1039,"Mother Teresa Shelter, Inc. Corpus Christi Texas"
1040,Good Samaritan Rescue Mission Corpus Christi Texas
1041,The Salvation Army Corpus Christi Shelter Corpus Christi Texas
1042,Red Shield Men's Lodge Corpus Christi Corpus Christi Texas
1043,Women's Shelter of South Texas Corpus Christi Texas
1044,Corpus Christi Metro Ministries House For Women and Children Corpus Christi Texas
1045,Corpus Christi Hope House Corpus Christi Texas
1046,Daniel's Den Ministries - Emergency Homelessness Response Services Waxahachie Texas
1047,Austin Resource Center for the Homeless - ARCH Austin Texas
1048,Casa Marianella Austin Texas
1049,Austin Shelter for Women and Children Austin Texas
1050,Foundation For Homeless Austin Austin Texas
1051,Hope Alliance Women's Shelter Round Rock Texas
1052,"Marshall's My Friend's House, Inc. Marshall Texas"
1053,House of Hope For Women Longview Texas
1054,Highway 80 Rescue Mission Longview Texas
1055,Hiway 80 Rescue Mission Longview Texas
1056,Genesis Center Battered Women's Shelter Kaufman Texas
1057,Matagorda County Women's Crisis Center Bay City Texas
1058,Sonrise Shelter Houston Texas
1059,Bonita Street House of Hope Houston Texas
1060,FamilyTime Crisis and Counseling Center Humble Texas
1061,Family Promise of Lake Houston Humble Texas
1062,Salvation Army Emergency Shelter Beaumont TX Beaumont Texas
1063,The How Center Beaumont Texas
1064,Franklin House Women & Children Facility Beaumont Texas
1065,Port Cities Rescue Mission Port Arthur Texas
1066,Lazarus Recovery Project for Single Women Port Arthur Texas
1067,Armour Outreach Ministries Buna Texas
1068,Live Oak Outreach George West Texas
1069,My Brother's Keeper Homeless Emergency Shelter Waco Texas
1070,Compassion Ministries of Waco Waco Texas
1071,Salvation Army Waco Emergency Shelter Transient Lodge Waco Texas
1072,Salvation Army's Sally's House Waco Texas
1073,Option House Youth Emergency Shelter Belton Texas
1074,Reaching Out Crisis Ministries Temple Texas
1075,Family Promise of Bell County Temple  Texas
1076,Friends in Crisis Shelter Killeen Texas
1077,Jesus Hope and Love Mission Killeen Texas
1078,In Triumph For Homeless Teens Florence Texas
1079,Fairweather Family Lodge San Antonio Texas
1080,Youth Alternatives  Inc. San Antonio Texas
1081,SAMMinistries Transitional Living and Learning Center San Antonio Texas
1082,Family Violence Prevention Services  Inc. San Antonio Texas
1083,The Childrens Shelter San Antonio Texas
1084,Visitation House San Antonio Texas
1085,Guadalupe Home San Antonio Texas
1086,Haven For Hope San Antonio Texas
1087,Salvation Army Family Shelter W. Elmira San Antonio Texas
1088,San Antonio Rescue Mission San Antonio Texas
1089,The Salvation Army Dave Coy Shelter for Men San Antonio Texas
1090,Catholic Worker House Day Shelter San Antonio Texas
1091,Strong Foundation Emergency and Transitional Housing San Antonio Texas
1092,Faith Mission and Help Center Brenham Texas
1093,City of Refuge Vinton Louisiana
1094,Friendship of Women Brownsville Texas
1095,Good Neighbor Settlement House Brownsville Texas
1096,Ozanam Center Brownsville Brownsville Texas
1097,La Posada Providencia San Benito Texas
1098,Open Arms Homeless Shelter Harlingen Texas
1099,Family Crisis Center  Inc Harlingen Texas
1100,New Beginnings Church Brownwood Texas
1101,Salvation Army Service Center of Brownwood Brownwood Texas
1102,Emmanuel Lighthouse Mission Bryan Transitional Housing Women Bryan Texas
1103,Emmanuel Lighthouse Mission College Station Texas
1104,The Bridge Shelter Bryan Texas
1105,Save Our Streets Ministries For Men Bryan Texas
1106,"Twin City Mission, Inc. Bryan Texas"
1107,Family Promise of Bryan Family Housing Bryan Texas
1108,Southside Community Center Homeless Shelter San Marcos Texas
1109,Cove House Emergency Homeless Shelter Copperas Cove Texas
1110,The Salvation Army Longview Social Services and Shelter Longview Texas
1111,The Life Center for the Homeless Houston Texas
1112,The Life Center for the Homeless Houston Texas
1113,Turning Point Center Houston Texas
1114,Santa Maria Hostel Houston Texas
1115,Spirit Key Transitional Housing Houston Texas
1116,Northwest Assistance Ministries Houston Texas
1117,Montgomery County Women's Center The Woodlands Texas
1118,Women In Need  Inc. Greenville Texas
1119,Montgomery County Women's Center Conroe Conroe Texas
1120,Martin Luther King Center Conroe Texas
1121,Salvation Army Wayne Bergstrom Center of Hope Conroe Texas
1122,Family Promise of Montgomery County Conroe Texas
1123,Crisis Assistance Center Conroe Texas
1124,The Fairway Home - Montgomery County Youth Services Conroe Texas
1125,BridgeWay Youth Shelter - Montgomery County Youth Services Conroe Texas
1126,GODTEL Ministries Livingston Texas
1127,Community Mission of Colorado City Colorado City Texas
1128,Boysville TX - Texas Home For Boys and Girls Converse Texas
1129,Seton Home San Antonio Texas
1130,The Refuge Corporation Copperas Cove Texas
1131,The Salvation Army Center of Hope Galveston Texas
1132,Christus Our Daily Bread Shelter and Services Galveston Texas
1133,Alcohol Drug Abuse Women's Center Galveston Texas
1134,Galveston Island Family Crisis Center Galveston Texas
1135,Grayson County Homeless Shelter Denison Texas
1136,Salvation Army of Grayson County Texas Sherman Texas
1137,North Texas Youth Connection Sherman Texas
1138,Godtel Ministries Lufkin Texas
1139,SafePlace Inc. Dumas Texas
1140,YWCA El Paso For Women - Sara McKnight Transitional Living Center El Paso Texas
1141,El Paso Housing Authority HACEP Shelter Program El Paso Texas
1142,Salvation Army of El Paso Emergency Shelter El Paso Texas
1143,Rescue Mission of El Paso El Paso Texas
1144,Opportunity House Women's Resource Center El Paso Texas
1145,Opportunity House El Paso Men's Resource Center El Paso Texas
1146,Annunciation House El Paso Texas
1147,Dame La Mano Crisis Center El Paso Texas
1148,La Posada Home  Inc El Paso Texas
1149,El Paso Villa Maria - For Women El Paso Texas
1150,Villa Maria El Paso Texas
1151,Reynolds Home For Women and Children El Paso Texas
1152,Hill Country Crisis Council Kerrville Texas
1153,Salvation Army of Tyler Texas Tyler Texas
1154,Graham Area Crisis Center For Battered Women Graham Texas
1155,Taylor House: Sabine Shelter MANY Louisiana
1156,Mission of Yahweh Houston Texas
1157,Fort Bend County Women's Center Richmond Texas
1158,Good Shepherd Mission Huntsville Texas
1159,The Salvation Army Laredo Men's Shelter Laredo Texas
1160,Bethany House Transitional Housing For Families Laredo Texas
1161,Restoration Empowerment Center Shelter for Women and Children Lubbock Texas
1162,Salvation Army Lubbock Emergency Shelter Lubbock Texas
1163,Family Promise of Lubbock Lubbock Texas
1164,Family Crisis Center of East Texas Nacogdoches Nacogdoches Texas
1165,Family Promise of Midland Midland Texas
1166,Salvation Army Midland TX Homeless Shelter Midland Texas
1167,Midland Fair Havens Midland Texas
1168,Jesus House of Odessa Odessa Texas
1169,Family Promise of Odessa Odessa Texas
1170,Salvation Army Odessa TX Homeless Shelter Odessa Texas
1171,Mission Messiah for Women and Children Odessa Texas
1172,The Madeline House & Grace Outreach Mount Vernon 
1173,"Randy Sams' Outreach Shelter, Inc. Texarkana Texas"
1174,Domestic Violence Prevention Texarkana Arkansas
1175,New Hope Center of Paris Paris Texas
1176,Shelter Agencies For Familes in Paris Texas Paris Texas
1177,Salvation Army Victoria TX Victoria Texas
1178,Perpetual Help Home Women's Shelter Victoria Texas
1179,Van Horn Community Christian Shelter Van Horn Texas
1180,Wichita Falls Faith Mission Wichita Falls Texas
1181,Salvation Army Wichita Falls Wichita Falls Texas
1182,Children's Aid Society of West Texas Inc. Wichita Falls Texas
1183,Faith Refuge Shelter for Women and Children Wichita Falls Texas
1184,Ashby House Family Shelter Salina Kansas
1185,Open Door Shelter Junction City Kansas
1186,Safe Haven Hope House for Homeless Veterans Leavenworth Kansas
1187,Butler Homeless Initiative Cold Weather Shelter El Dorado Kansas
1188,The Balance House Concordia 
1189,Project 10 20 Olathe Kansas
1190,Salvation Army - Johnson County Family Lodge Olathe Kansas
1191,Mt. Carmel Community Outreach Ministries Kansas City Kansas
1192,Della Gill - Joyce H. Williams Center Kansas City Kansas
1193,Shalom House Kansas City Kansas
1194,Jewish Family Services Kansas City Missouri
1195,Kansas City Rescue Mission Men's Mission - KCRM Kansas City Missouri
1196,Forest Avenue Family Shelter Kansas City Missouri
1197,reStart Inc. Kansas City Missouri
1198,City Union Mission Kansas City Missouri
1199,Hope Faith Ministries Kansas City Missouri
1200,Kansas City Community Kitchen Kansas City 
1201,Kansas City Rescue Mission Women’s Ministries Kansas City Missouri
1202,Benilde Hall Kansas City Missouri
1203,AngelEyes Maternity Home Kansas City Missouri
1204,Lawrence Community Shelter Lawrence Kansas
1205,Safe Haven Outreach Mission Inc Parsons Kansas
1206,Hannah's Promise Pregnancy Life Center Parsons Kansas
1207,Lafayette House Joplin Missouri
1208,Wesley House Pittsburg Kansas
1209,Souls Harbor Joplin Missouri
1210,Watered Gardens Gospel Rescue Mission Joplin Missouri
1211,Emporia Rescue Mission Emporia Kansas
1212,"Corner House, Inc.  VA Women's Facility Emporia Kansas"
1213,Emmaus House Garden City Kansas
1214,NOEL Lodge Hutchinson Kansas
1215,Home Sweet Home Homeless Ministry Independence Kansas
1216,Mother's Refuge Independence Missouri
1217,The Salvation Army Crossroads Family Emergency Shelter Independence Missouri
1218,Stepping Stone Shelter Liberal Kansas
1219,Topeka Rescue Mission Ministries - Hope Center Topeka Kansas
1220,Topeka Rescue Mission - Main Shelter Topeka Kansas
1221,New Hope Homeless Shelter Newton Kansas
1222,Hope Haven of Cass County - Domestic Abuse Shelter Harrisonville Missouri
1223,Inter-Faith Ti'Wiconi Safe Haven Wichita Kansas
1224,Inter-Faith Inn Homeless Shelter Wichita Kansas
1225,"United Methodist Open Door, Inc - Homeless Resource Center Wichita Kansas"
1226,Union Rescue Mission Wichita Kansas
1227,Carthage Crisis Center Carthage Missouri
1228,Salina Rescue Mission Salina Kansas
1229,Madison House of Hope Madison South Dakota
1230,Women of War Belle Fourche South Dakota
1231,Hope Center - Homeless Day Center Rapid City South Dakota
1232,CornerStone Rescue Mission Rapid City South Dakota
1233,St Francis House Sioux Falls South Dakota
1234,Bishop Dudley Hospitality House Sioux Falls South Dakota
1235,Union Gospel Mission Sioux Falls South Dakota
1236,Gregory County Shelter Burke South Dakota
1237,CRST New Hope Homeless Shelter & Therapeutic Garden Eagle butte South Dakota
1238,Missouri Shores Domestic Violence Center Pierre South Dakota
1239,Crisis Intervention Shelter Lemmon South Dakota
1240,Communities Against Violence and Abuse Lemmon South Dakota
1241,Mitchell Area Safehouse Mitchell South Dakota
1242,Oglala Sioux Tribe Veterans Shelter Pine Ridge South Dakota
1243,Women's Resource Center Watertown South Dakota
1244,Pathways Shelter for the Homeless Yankton South Dakota
1245,Overcomers International Fellowship - Dream Center St. Cloud Minnesota
1246,Freeborn County Homeless Shelter Albert Lea Minnesota
1247,Salvation Army Austin Minnesota Austin Minnesota
1248,Stepping Stone Emergency Housing Anoka Minnesota
1249,Sharing and Caring Hands Minneapolis Minnesota
1250,Mary's Place Minneapolis Minnesota
1251,Evergreen Residence - Single Room Occupancy Minneapolis Minnesota
1252,Catholic Charities Higher Ground Shelter Adult Shelter Minneapolis Minnesota
1253,Salvation Army Harbor Light Shelter Minneapolis Minnesota
1254,People Serving People Minneapolis Minnesota
1255,Adult Shelter Connect Minneapolis St. Olaf Church Minneapolis Minnesota
1256,House of Charity Minneapolis Minnesota
1257,St. Stephen's Street Outreach Minneapolis Minnesota
1258,Our Saviour's Shelter Minneapolis Minnesota
1259,Simpson Housing Services Overnight Emergency Shelter Minneapolis Minnesota
1260,Simpson Housing Services Overnight Emergency Shelter Minneapolis Minnesota
1261,St. Andrew’s Family Shelter Hugo Minnesota
1262,Hope Street Shelter - Shelter for Young Adults Minneapolis Minnesota
1263,Kingdom Pathways Freedom Outreach St. Paul Minnesota
1264,Union Gospel Mission Twin Cities St. Paul Minnesota
1265,Higher Ground Saint Paul Shelter St. Paul Minnesota
1266,Bethel Hotel St. Paul Minnesota
1267,The Family Place Saint Paul Minnesota
1268,Dorothy Day Center Minneapolis Saint Paul Minnesota
1269,Naomi Family Residence St. Paul Minnesota
1270,Catholic Charities Family Service Center Maplewood Minnesota
1271,"New Pathways, Inc Cambridge Minnesota"
1272,Dakota Woodlands Eagan Minnesota
1273,Matrix Emergency Shelter in Dakota County Apple Valley Minnesota
1274,St Cloud Salvation Army St Cloud Minnesota
1275,Ours to Serve House of Hospitality Bemidji Minnesota
1276,Village of Hope Bemidji Minnesota
1277,Bemidji Churches United Bemidji Minnesota
1278,A Place of Grace Catholic Worker House La Crosse Wisconsin
1279,Millie's House of Hope Duluth Minnesota
1280,CHUM Center & Emergency Shelter Duluth Minnesota
1281,Union Gospel Mission Duluth Minnesota
1282,Care & Share Center Crookston Minnesota
1283,Hospitality House of Owatonna Owatonna Minnesota
1284,Grace House of Itasca County Grand Rapids Minnesota
1285,Interfaith Hospitality Network of Greater Rochester Rochester Minnesota
1286,Dorothy Day Hospitality House Rochester Minnesota
1287,Welcome Inn Mankato Minnesota
1288,Theresa House Short Term Shelter Mankato Minnesota
1289,NUMAS Haus New Ulm 
1290,Winona Catholic Worker Transitional Housing Winona Minnesota
1291,Matura Adair County Neighborhood Center Greenfield Iowa
1292,West Central Development Corporation Atlantic Iowa
1293,Hope Center for Women and Children  Des Moines Iowa
1294,Bethel Mission Men's Shelter Des Moines Iowa
1295,Central Iowa Shelter & Services Des Moines Iowa
1296,Freedom for Youth Ministries Des Moines Iowa
1297,Ames Emergency Residence Project Ames Iowa
1298,Martha's House of Hope Ames Iowa
1299,Foundation 2 Cedar Rapids Iowa
1300,Closed - Cedar House Shelter Cedar Rapids Iowa
1301,Madge Phillips Center Waypoint Cedar Rapids Iowa
1302,St. John of the Cross - Catholic Worker House Cedar Rapids Iowa
1303,Willis Dady Emergency Shelter Cedar Rapids Iowa
1304,Mission of Hope Shelter Cedar Rapids  Iowa
1305,Shelter House Iowa City Iowa City Iowa
1306,The Salvation Army of The Quad Cities Davenport Iowa
1307,Christian Family Care Center Rock Island Illinois
1308,King's Harvest Ministries Homeless Shelter - Cold Weather Shelter Davenport Iowa
1309,"Humility of Mary Shelter, Inc. Davenport Iowa"
1310,Victory Center Ministries - Rescue Mission Clinton Iowa
1311,King House Clinton Iowa
1312,Burlington Area Homeless Shelter Burlington Iowa
1313,Salvation Army Men's Lodge Waterloo Iowa
1314,Salvation Army Women and Children Lodge Waterloo Iowa
1315,Cedar Valley Hospitality House WATERLOO Iowa
1316,Hospitality House  Waterloo  Iowa
1317,LZ Phoenix Waverly Iowa
1318,Northern Lights Emergency shelter  Mason City Iowa
1319,Courage Hall  Mason City  Iowa
1320,Salvation Army Mason City Iowa
1321,New Beginnings House of Hope Mason City Iowa
1322,Walters House Mason City Iowa
1323,Hope House Catholic Worker Dubuque Iowa
1324,Teresa Shelter Dubuque Iowa
1325,Maria House Dubuque Iowa
1326,Dubuque Rescue Mission Dubuque Iowa
1327,Family Promise of Grant County Platteville Wisconsin
1328,Cunningham House Emergency Homeless Shelter Platteville Wisconsin
1329,Lutheran Church of Peace Emergency Homeless Shelter Platteville Wisconsin
1330,Beacon Of Hope Shelter Fort Dodge Iowa
1331,MCSA - Muscatine Center For Social Action Muscatine Iowa
1332,Mama T’s Bread and Blessing Ada Oklahoma
1333,Naomi House Inc Ardmore Oklahoma
1334,The Grace Center of Southern Oklahoma Ardmore Oklahoma
1335,Family Promise of Washington County Bartlesville 
1336,Lighthouse Outreach Center Bartlesville Oklahoma
1337,GUTS Church - Food Pantry (aka Distribution Center) Tulsa 
1338,Mamas Transitional housing Tulsa Oklahoma
1339,Youth Services  Tulsa Oklahoma
1340,The Salvation Army - Emergency Shelter Tulsa Oklahoma
1341,Day Center for the Homeless Tulsa Oklahoma
1342,John 3:16 Mission Tulsa Oklahoma
1343,Tulsa County Emergency Shelter Tulsa Oklahoma
1344,"The Chosen House, Inc. Chandler Oklahoma"
1345,Maranatha Outreach Center Maternity Center Stroud Oklahoma
1346,Family Promise of Shawnee Shawnee Oklahoma
1347,"Family Promise of Shawnee, Inc. Shawnee Oklahoma"
1348,Miller Family Center for Life Change Muskogee Oklahoma
1349,Marlow Samaritans Emergency Shelter Marlow Oklahoma
1350,EMERGING ANGLES MIDWEST CITY Oklahoma
1351,Salvation Army Oklahoma City Shelter Oklahoma City Oklahoma
1352,YWCA Inez Kinney Gaylord Passageway Emergency Shelter  Oklahoma City Oklahoma
1353,City Rescue Mission Oklahoma City Oklahoma
1354,Jesus House Oklahoma City Oklahoma
1355,Emergency Shelter for Seniors and the Medically Fragile Oklahoma City Oklahoma
1356,Grace Rescue Mission Oklahoma City Oklahoma
1357,Sisu Youth Services oklahoma city Oklahoma
1358,Hope Center Emergency Assistance Edmond Oklahoma
1359,Women's Resource Center Norman Oklahoma
1360,Food and Shelter Inc Norman Oklahoma
1361,Transition House Norman Oklahoma
1362,Sought out Ministries Homeless Shelter Duncan Oklahoma
1363,Hope Outreach Homeless Shelter Enid Oklahoma
1364,Okmulgee County Homeless Shelter Okmulgee Oklahoma
1365,The Sanctuary House for Women Salina Oklahoma
1366,Genesis House of Siloam Springs - Day Shelter Siloam Springs Arkansas
1367,Mission Of Hope Stillwater Oklahoma
1368,Oaks Of Mamre Guymon Oklahoma
